col_1,col_2,col_3,col_4,col_5,col_6,col_7
,"AOO ...
Travaux
17/04/2026","36/FA/DAAFL/DIV.GF/ZS/2026
Objet : Travaux de construction des logements administratifs avec des aménagements extérieurs à la caserne du G.M.M Dakhla 2ème tranche en lot unique tous corps d’état.‎
Acheteur public : INSPECTION GENERALE DES FORCES AUXILIAIRES - ZONE SUD","-
DAKHLA","13/07/2026
10:00",,":
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0"
,"AOO ...
Services
15/04/2026","AO20/2026
Objet : Réalisation des essais de contrôle et suivi de la qualité des travaux de reconstruction de 8 ouvrages hydrauliques situés entre PK 2+500 au PK18+500 (Ex PK 28+000 au PK 44+000) de la RP1914 dans la Province de Sidi Ifni ...
Acheteur public : CHEF DE SERVICE DE L'EQUIPEMENT, DU TRANSPORT ET DE LA LOGISTIQUE DE SIDI IFNI","-
SIDI IFNI","18/06/2026
12:00",,":
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0"
,"AOO ...
Services
15/04/2026","AO19/2026
Objet : Réalisation des essais de contrôle et suivi de la qualité des travaux de mise a niveau de la RN21 du 11+220 AU PK 18+450 dans la province de Sidi Ifni
Acheteur public : CHEF DE SERVICE DE L'EQUIPEMENT, DU TRANSPORT ET DE LA LOGISTIQUE DE SIDI IFNI","-
SIDI IFNI","18/06/2026
11:00",,":
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0"
,"AOO ...
Services
15/04/2026","AO18/2026
Objet : CONTROLE TOPOGRAPHIQUE DES TRAVAUX DE MISE A NIVEAU DE LA RN21 DU PK 11+220 AU PK 18+450 DANS LA PROVINCE DE SIDI IFNI.
Acheteur public : CHEF DE SERVICE DE L'EQUIPEMENT, DU TRANSPORT ET DE LA LOGISTIQUE DE SIDI IFNI","-
SIDI IFNI","18/06/2026
10:00",,":
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0"
,"AOO ...
Travaux
13/04/2026","AO17/2026
Objet : Travaux de signalisation horizontale des routes suivantes : - La RR 121 du PK38+870 au PK67+570; - La RR 117 du PK65+450 au PK92+350; - La RR 118 du PK79+400 au PK116+780; (Province de Sidi Ifni) ...
Acheteur public : CHEF DE SERVICE DE L'EQUIPEMENT, DU TRANSPORT ET DE LA LOGISTIQUE DE SIDI IFNI","-
SIDI IFNI","10/06/2026
11:00",,":
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0"
,"AOO ...
Travaux
13/04/2026","AO16/2026
Objet : Travaux de mise à niveau de la signalisation verticale et équipement de sécurité des routes suivantes : - La RR 121 du PK38+870 au PK67+570; - La RR 117 du PK65+450 au PK92+350; - La RR 118 du PK79+400 au PK116+780; (Province ...
Acheteur public : CHEF DE SERVICE DE L'EQUIPEMENT, DU TRANSPORT ET DE LA LOGISTIQUE DE SIDI IFNI","-
SIDI IFNI","10/06/2026
10:00",,":
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0"
,"CONCA ...
Services
16/04/2026","C01/2026
Objet : CONCEPTION, ETUDE ARCHITECTURALE ET SUIVI DES TRAVAUX DE CONSTRUCTION D’UN HOTEL DE LA FONDATION A TANGER.
Acheteur public : FONDATION MOHAMMED VI POUR LA PROMOTION DES OEUVRES SOCIALES DE L'EDUCATION-FORMATION","-
TANGER-ASSILAH","08/06/2026
10:00",,":
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0"
,"AOO ...
Travaux
08/04/2026","TC4130343/2026/ONEEBELEC
Objet : les travaux de Remplacement des sectionneurs d’aiguillage 225KV au poste GHANEM
Acheteur public : OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE","-
EL JADIDA","04/06/2026
09:00",,":
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0"
,"AOO ...
Travaux
16/04/2026","05/2026/AREP/MS
Objet : Travaux d’élargissement et de renforcement de la RR301 du PK 176+610 au PK 201+330 sur un linéaire de 24,720 km – Province de Safi- Région Marrakech-Safi.
Acheteur public : AGENCE REGIONALE D'EXECUTION DES PROJETS DE LA REGION MARRAKECH SAFI","-
SAFI","28/05/2026
10:00",,":
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0"
,"AOO ...
Travaux
14/04/2026","04/BP/2026
Objet : TRAVAUX D'AMENAGEMENET ET CONSTRUCTION DES TERRAINS DE PROXIMITE EN GAZON SYNTHETIQUE A LA PROVINCE DE MIDELT.
Acheteur public : PROVINCE DE MIDELT","-
MIDELT","26/05/2026
11:00",,":
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0
                      
                    
                    :
                      
                        0"
